IRI Week,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1152,24-Sep-01,30-Sep-01,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1153,1-Oct-01,7-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1154,8-Oct-01,14-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1155,15-Oct-01,21-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1156,22-Oct-01,28-Oct-01,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1157,29-Oct-01,4-Nov-01,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
1158,5-Nov-01,11-Nov-01,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1159,12-Nov-01,18-Nov-01,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1160,19-Nov-01,25-Nov-01,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1161,26-Nov-01,2-Dec-01,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1162,3-Dec-01,9-Dec-01,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1163,10-Dec-01,16-Dec-01,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1164,17-Dec-01,23-Dec-01,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1165,24-Dec-01,30-Dec-01,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1166,31-Dec-01,6-Jan-02,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1167,7-Jan-02,13-Jan-02,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1168,14-Jan-02,20-Jan-02,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1169,21-Jan-02,27-Jan-02,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1170,28-Jan-02,3-Feb-02,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1171,4-Feb-02,10-Feb-02,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
