SKU,Year,med_price
88_6_99998_59520,2002,2.51283076923077
88_6_99998_59520,2003,2.4428867657162447
88_6_99998_59520,2004,2.71100313479624
88_6_99998_59520,2005,2.44199670888025
88_6_99998_59520,2006,2.35828478964401
88_6_99998_59520,2007,2.34814043829597
88_6_99998_59525,2001,2.19501018329939
88_6_99998_59525,2002,2.08
88_6_99998_59525,2003,2.545
88_6_99998_59525,2004,2.9450000000000003
88_6_99998_59525,2005,2.6500000000000004
88_6_99998_59525,2006,2.463132097196855
88_6_99998_59525,2007,2.22169404553838
88_6_99998_59546,2001,0.77
88_6_99998_59546,2002,0.77
88_6_99998_59546,2003,0.99
88_6_99998_59546,2004,0.99
88_6_99998_59546,2005,0.99
88_6_99998_59546,2006,0.99
88_6_99998_59546,2007,0.840223642172524
88_6_99998_59547,2001,1.25
88_6_99998_59547,2002,1.24
88_6_99998_59547,2003,1.49
88_6_99998_59547,2004,1.59
88_6_99998_59547,2005,1.65
88_6_99998_59547,2006,1.49
88_6_99998_59547,2007,1.35769730040134
88_6_99998_59548,2001,2.52162790697674
88_6_99998_59548,2002,2.51717948717949
88_6_99998_59548,2003,2.5117745098039252
88_6_99998_59548,2004,2.829713028906575
88_6_99998_59548,2005,2.68264423076923
88_6_99998_59548,2006,2.53251700680272
88_6_99998_59548,2007,2.43432553875524
88_6_99998_59549,2001,3.14244814445588
88_6_99998_59549,2002,2.790818112730655
88_6_99998_59549,2003,2.99421965317919
88_6_99998_59549,2004,3.541596907993965
88_6_99998_59549,2005,3.254900862068965
88_6_99998_59549,2006,3.068342791644625
88_6_99998_59549,2007,2.88081102741299
88_6_99998_59597,2001,1.25
88_6_99998_59597,2002,1.29
88_6_99998_59597,2003,1.49
88_6_99998_59597,2004,1.49
88_6_99998_59597,2005,1.75
88_6_99998_59597,2006,1.69
88_6_99998_59597,2007,1.174132755177
88_6_99998_59601,2001,4.99
88_6_99998_59601,2002,4.29
88_6_99998_59601,2003,4.29
88_6_99998_59601,2004,4.49
88_6_99998_59601,2005,4.29
88_6_99998_59601,2006,4.59
88_6_99998_59601,2007,4.07269271181045
88_6_99998_59649,2001,0.6
88_6_99998_59649,2002,0.79
88_6_99998_59649,2003,0.79
88_6_99998_59649,2004,1.18
88_6_99998_59649,2005,1.19
88_6_99998_59649,2006,1.19
88_6_99998_59649,2007,0.908711395101171
88_6_99998_59651,2001,1.95
88_6_99998_59651,2002,1.99
88_6_99998_59651,2003,1.99
88_6_99998_59651,2004,2.69
88_6_99998_59651,2005,2.79
88_6_99998_59651,2006,2.79
88_6_99998_59651,2007,2.31980319488818
88_6_99998_59689,2001,1.25
88_6_99998_59689,2002,1.29
88_6_99998_59689,2003,1.49
88_6_99998_59689,2004,1.49
88_6_99998_59689,2005,1.75
88_6_99998_59689,2006,1.69
88_6_99998_59689,2007,1.16236951572004
