,MSE,MAE,MAPE
0_1_25293_60025,20.26728513735141,3.6898811842302095,0.970185585000242
0_1_25293_60027,51.63895728218638,6.0346508729170045,0.419979272196677
0_1_25293_60039,38.756208341332794,5.333245541029872,0.577056743886723
0_1_28000_58454,43.114991764242454,5.352265088263239,2.025414349916732
0_1_49900_27268,33.82275655615839,4.589018322353646,0.2674266890955222
0_2_25293_60037,9.525684331522509,2.5565297509703395,0.6763018642488444
0_2_28000_24610,35.54065787962989,4.52107221001068,0.25894449845845424
7_1_42365_22800,24.461148898604755,3.912940648562168,0.14038384988517086
7_1_42365_22820,157.73762280469998,10.41862926994951,0.23240984446742494
7_1_42365_22840,52.23648821696225,5.738330391902039,0.14123338984500317
7_1_42365_26400,172.65859691965505,10.550840355744283,0.2329850882858627
7_1_42365_26410,306.47083234628667,12.137274867520217,0.17860020343233807
7_1_42365_26420,150.17155964150214,9.84345352341744,0.1887469338127725
7_1_42365_26440,184.31839701321127,9.972573574268132,0.24122148016702058
88_6_99998_59442,21.810702751042488,3.7244227364179965,0.2116558692652973
88_6_99998_59443,106.5436504296479,7.817324297567044,0.11196787884424747
88_6_99998_59444,1032.888370984361,25.37008726601438,0.06121416485296264
88_6_99998_59461,1569.0038871663744,31.699708874867344,0.05508696992917567
88_6_99998_59486,2202.3990399190993,38.406655782713116,0.06534554777448248
88_6_99998_59492,56.65930583473341,6.475363728478811,0.5460741973067749
88_6_99998_59494,895.7929972929966,21.19855703839946,0.06078476540216833
88_6_99998_59504,162.64029858790084,10.228055322630679,0.15568874644899194
88_6_99998_59509,603.3324736127507,20.31285980594022,0.1916399565033795
88_6_99998_59518,26.97166163728266,4.094167735602822,0.2761238254826411
88_6_99998_59519,164.43606439606498,10.111073062304415,0.12013352035257653
88_6_99998_59520,1320.4364389233467,25.823417926317113,0.09621409732105621
88_6_99998_59525,1324.1627605014705,29.288448784968775,0.06558106187760278
88_6_99998_59546,35.81663891568106,4.50766997608144,0.20259455629337647
88_6_99998_59547,105.71302661336154,7.9697200061915785,0.152438206512085
88_6_99998_59548,458.8071163562684,17.553471190378087,0.11817655459912355
88_6_99998_59549,751.0425535561873,22.25400479062061,0.08919969087160443
88_6_99998_59597,196.50466839108515,11.03484495378826,0.6877385830895164
88_6_99998_59601,25.415741056845246,3.8461299944833014,0.3193526264554677
88_6_99998_59649,40.68802439883029,4.565559985742152,0.267612112632626
88_6_99998_59651,35.82854206003021,4.7316500914675235,0.17668045126213033
88_6_99998_59689,92.90171214610702,7.333277730729801,1.1061776857402623
