,Mean,Std_deviation,bias
0_1_25293_60025,1.0940741463785524,0.14446596365462658,0.3610786026761632
0_1_25293_60027,1.0897841233393648,0.13731969656430276,13.498791806035694
0_1_25293_60039,1.0829951069003563,0.1365973005995864,17.546775940005126
0_1_28000_58454,1.295553512961651,0.32798459350721393,-0.01418216975616815
0_1_49900_27268,1.058206047544479,0.0995209450833922,4.453440172430215
0_2_25293_60037,1.0894970617553366,0.1302800692484887,3.510972481823386
0_2_28000_24610,1.1035314791494688,0.13514916709854655,9.80116265421793
7_1_42365_22800,1.0166828136893329,0.039171030673768974,-2.1787870725539333
7_1_42365_22820,1.0174918485883369,0.0399564908153405,0.7678482875419514
7_1_42365_22840,1.0174955308606382,0.04039216900341116,14.680617590422205
7_1_42365_26400,1.0634157222579015,0.08774992337693922,-2.2438727246988144
7_1_42365_26410,1.06115699334752,0.08696577894610645,17.35600819499272
7_1_42365_26420,1.061788794195621,0.08818859150632864,13.94031148458918
7_1_42365_26440,1.0622155787667589,0.08877012421869077,14.276986185681208
88_6_99998_59442,1.0477986440517126,0.08838032187458107,13.969136773304939
88_6_99998_59443,1.0682773550600408,0.09247598829239666,3.7000412167587395
88_6_99998_59444,1.0431431278804317,0.06338413464245587,128.52752721080503
88_6_99998_59461,1.1074994650477359,0.09863139034778973,46.018249339398146
88_6_99998_59486,1.089163024296343,0.08352028820319798,69.90782901183549
88_6_99998_59492,1.0674311197763067,0.11835378952620912,2.904752725698299
88_6_99998_59494,1.0587620787478762,0.08971668357367785,53.09348970587655
88_6_99998_59504,1.0562907398272465,0.08962761663663026,6.006021754030767
88_6_99998_59509,1.066218233073816,0.08258054715903557,36.12977258090807
88_6_99998_59518,1.0675006190249434,0.11838440149144352,9.696874766818343
88_6_99998_59519,1.054757626010707,0.07340050045681924,14.742858788885997
88_6_99998_59520,1.0512817395242735,0.0752738676170923,17.697223679083955
88_6_99998_59525,1.101162082081637,0.10804390912030575,21.75947934541084
88_6_99998_59546,1.0874524299515393,0.14517519822329547,16.47284222774298
88_6_99998_59547,1.0612463455559258,0.09636060731184058,15.756269585814218
88_6_99998_59548,1.0605314636065704,0.0785429568005488,-25.498093967414796
88_6_99998_59549,1.0778642796267965,0.08035680784457709,-51.661519671301484
88_6_99998_59597,1.2755080082993542,0.29100047579789673,-13.248809659564966
88_6_99998_59601,1.0945558988632367,0.11646004824589323,7.357310633383831
88_6_99998_59649,1.0386423253035295,0.09735946562429586,0.228549959377629
88_6_99998_59651,1.0117941007698152,0.04540261308023588,-4.893763899469004
88_6_99998_59689,1.2875630625760575,0.2967759457146619,-19.04337105421352
