Time_ID,Sales,Discount,Price,Display1,Display2,Feature1,Feature2,Feature3,Feature4,SKU,Store_ID,Year
1114,5,0,4,0,0,0,0,0,0,1,234212,2001
1114,14,0,2.69,0,0,0,0,0,0,2,234212,2001
1114,35,0,2.69,0,0,0,0,0,0,3,234212,2001
1114,25,0,2.69,0,0,0,0,0,0,4,234212,2001
1114,15,0,2.99,0,0,0,0,0,0,5,234212,2001
1114,170,0,3.36,0,0,0,0,0,0,6,234212,2001
1114,364,1,1.042473,0,0,0,1,0,0,7,234212,2001
1114,191,1,0.742408,0,0,0,1,0,0,8,234212,2001
1114,735,1,1.042476,0,0,0,1,0,0,9,234212,2001
1114,153,1,1.117516,0,0,0,1,0,0,10,234212,2001
1114,140,1,0.742571,0,0,0,1,0,0,11,234212,2001
1114,54,0,1.49,0,0,0,0,0,0,12,234212,2001
1114,56,0,0.99,0,0,0,0,0,0,13,234212,2001
1114,28,0,4,0,0,0,0,0,0,14,234212,2001
1114,5,0,2.89,0,0,0,0,0,0,15,234212,2001
1114,566,1,1.042491,0,0,0,1,0,0,16,234212,2001
1114,686,0,2.19,0,0,0,0,0,0,17,234212,2001
1114,326,0,2.19,0,0,0,0,0,0,18,234212,2001
1114,283,0,3.37,0,0,0,0,0,0,19,234212,2001
1114,7,0,3.99,0,0,0,0,0,0,20,234212,2001
1114,227,1,0.742467,0,0,0,1,0,0,21,234212,2001
1114,175,1,1.117486,0,0,0,1,0,0,22,234212,2001
1114,154,1,0.742403,0,0,0,1,0,0,23,234212,2001
1114,168,0,2.19,0,0,0,0,0,0,24,234212,2001
1114,25,0,2.93,0,0,0,0,0,0,25,234212,2001
1114,31,0,2.39,0,0,0,0,0,0,26,234212,2001
1114,9,0,2.19,0,0,0,0,0,0,27,234212,2001
1114,35,1,2.467714,0,0,0,1,0,0,28,234212,2001
1114,38,1,2.467368,0,0,0,1,0,0,29,234212,2001
1114,18,1,2.466667,0,0,0,1,0,0,30,234212,2001
1114,200,1,0.7425,0,0,0,1,0,0,31,234212,2001
1114,19,0,3,0,0,0,0,0,0,32,234212,2001
1114,12,0,2.79,0,0,0,0,0,0,33,234212,2001
1114,5,0,2.79,0,0,0,0,0,0,34,234212,2001
1114,4,0,2.79,0,0,0,0,0,0,35,234212,2001
1114,5,0,2.79,0,0,0,0,0,0,36,234212,2001
1114,15,0,2.99,0,0,0,0,0,0,37,234212,2001
1114,9,0,4,0,0,0,0,0,0,38,234212,2001
1114,4,0,3.99,0,0,0,0,0,0,39,234212,2001
1114,7,0,3,0,0,0,0,0,0,40,234212,2001
1114,4,0,1.69,0,0,0,0,0,0,0_1_25293_60025,236117,2001
1114,22.1186440677966,0,3.82812231308547,0,0,0,0,0,0,0_1_25293_60027,236117,2001
1114,23.6092715231788,0,3.90003509262343,0,0,0,0,0,0,0_1_25293_60039,236117,2001
1114,11.1202346041056,0,1.47367959313414,0,0,0,0,0,0,0_1_28000_58454,236117,2001
1114,42,0,1.27,0,0,0,0,0,0,0_1_49900_27268,236117,2001
1114,20,0,1.69,0,0,0,0,0,0,0_2_25293_60037,236117,2001
1114,15,0,3.39,0,0,0,0,0,0,0_2_28000_24610,236117,2001
1114,30.8132183908046,0,6.25839354645152,0,0,0,0,0,0,7_1_42365_22800,236117,2001
1114,48.1943661971831,0,6.25339893746478,0,0,0,0,0,0,7_1_42365_22820,236117,2001
1114,36.6985915492958,0,6.25415803530658,0,0,0,0,0,0,7_1_42365_22840,236117,2001
1114,57,0,3.19,0,0,0,0,0,0,7_1_42365_26400,236117,2001
1114,62,0,3.19,0,0,0,0,0,0,7_1_42365_26410,236117,2001
1114,20,0,3.19,0,0,0,0,0,0,7_1_42365_26420,236117,2001
1114,37,0,3.19,0,0,0,0,0,0,7_1_42365_26440,236117,2001
1114,10,0,0.67,0,0,0,0,0,0,88_6_99998_59442,236117,2001
1114,179,0,1.04223463687151,0,0,0,0,0,0,88_6_99998_59443,236117,2001
1114,545,0,1.93675229357798,0,0,0,0,0,0,88_6_99998_59444,236117,2001
1114,597,0,2.31299832495812,0,0,0,0,0,0,88_6_99998_59461,236117,2001
1114,574,0,2.75226480836237,0,0,0,0,1,0,88_6_99998_59486,236117,2001
1114,7,0,0.71,0,0,0,0,0,0,88_6_99998_59492,236117,2001
1114,448,0,2.07,0,0,0,0,0,0,88_6_99998_59494,236117,2001
1114,138,0,1.1,0,0,0,0,0,0,88_6_99998_59504,236117,2001
1114,247,0,3.49,0,0,0,0,0,0,88_6_99998_59509,236117,2001
1114,45,0,0.71,0,0,0,0,0,0,88_6_99998_59518,236117,2001
1114,177,0,1.14220338983051,0,0,0,0,0,0,88_6_99998_59519,236117,2001
1114,547,0,2.13632541133455,0,0,0,0,0,0,88_6_99998_59520,236117,2001
1114,469,0,2.19501066098081,0,0,0,0,1,0,88_6_99998_59525,236117,2001
1114,52,0,0.74,0,0,0,0,0,0,88_6_99998_59546,236117,2001
1114,146,0,1.15,0,0,0,0,0,0,88_6_99998_59547,236117,2001
1114,288,0,2.24791666666667,0,0,0,0,0,0,88_6_99998_59548,236117,2001
