IRI Week,Year,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1171,2002,4-Feb-02,10-Feb-02,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1172,2002,11-Feb-02,17-Feb-02,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1173,2002,18-Feb-02,24-Feb-02,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1174,2002,25-Feb-02,3-Mar-02,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1175,2002,4-Mar-02,10-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1176,2002,11-Mar-02,17-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1177,2002,18-Mar-02,24-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1178,2002,25-Mar-02,31-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,1,,,,,,,
1179,2002,1-Apr-02,7-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1180,2002,8-Apr-02,14-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1181,2002,15-Apr-02,21-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1182,2002,22-Apr-02,28-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1183,2002,29-Apr-02,5-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1184,2002,6-May-02,12-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1185,2002,13-May-02,19-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1186,2002,20-May-02,26-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1187,2002,27-May-02,2-Jun-02,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
