,0_1_25293_60025,0_1_25293_60027,0_1_25293_60039,0_1_28000_58454,0_1_49900_27268,0_2_25293_60037,0_2_28000_24610,7_1_42365_22800,7_1_42365_22820,7_1_42365_22840,7_1_42365_26400,7_1_42365_26410,7_1_42365_26420,7_1_42365_26440,88_6_99998_59442,88_6_99998_59443,88_6_99998_59444,88_6_99998_59461,88_6_99998_59486,88_6_99998_59492,88_6_99998_59494,88_6_99998_59504,88_6_99998_59509,88_6_99998_59518,88_6_99998_59519,88_6_99998_59520,88_6_99998_59525,88_6_99998_59546,88_6_99998_59547,88_6_99998_59548,88_6_99998_59549,88_6_99998_59597,88_6_99998_59601,88_6_99998_59649,88_6_99998_59651,88_6_99998_59689
Thanksgiving,0.0,0.0,0.0,0.0,0.04272731823972817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272809117072009,0.0,0.0,0.0,0.04245965125278246,0.08642713033361116,0.0,0.0,0.11095712598714114,0.147886167092728,0.0,0.0,0.0,0.15774076838366868,0.03577740509850035,0.0
Thanksgiving_1,0.0,0.0,0.08012715108090704,0.0,0.0,0.046098803606030074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014247520964143194,0.0,0.0,0.00018704338484636345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457332805805622,0.0,0.0,0.10383071934193301,0.0,0.02093291614922004,0.0,0.0
Christmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001151563544603768,0.010508487979962221,0.0,0.0,0.0,0.0,0.0730092626638462,0.0,0.0,0.20945179403190756,0.15708551146096034,0.0,0.0,0.0,0.24679015729702866,0.0,0.0
Christmas_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057531600685184255,0.0,0.0017245504675948062,0.0032977099104762025,0.03903444661889706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010672930347356441,0.06559630974377802,0.0,0.0,0.0,0.10772356420051138,0.0,0.0
NewYear,0.0,0.0,0.0,0.0,0.03314653130471138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022498655868281706,0.0,0.0,0.0076198863476043665,0.0,0.009237052723876569,0.0,0.003810161483204148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408091925955655,0.0
President,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03936420645253026,0.0,0.0,0.020553993656808423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004453051781633483,0.0,0.0,0.0,0.0,0.0,0.0,0.4023002646354565,0.0,0.020020199036783887,0.0,0.31927522744317977
President_1,0.22818084005739186,0.0,0.12286568447405467,0.0,0.0,0.0,0.0,0.1823228264139523,0.0,0.0,0.0,0.0,0.0,0.0,0.1605977912063621,0.054658492275009025,0.0,0.0,0.0,0.0,0.0,0.0,0.0032791094392781756,0.0,0.0,0.0,0.001374951519599688,0.0,0.0,0.0,0.0,0.4046728834199233,0.0,0.0,0.0,0.29573427999716584
Easter,0.0,0.0,0.10727803398675013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06957264454889586,0.0,0.007053978046366978,0.0,0.03370256505200475,0.0,0.0036291240145003593,0.07081070849316716,0.05425862272327944,0.2329415018860301,0.08697677803563518,0.017945869259231636,0.023447836946057926,0.0,0.029011368419496114,0.13100463707475246,0.034580392671664406,0.0,0.08453367897495725,0.21824988934164583,0.0,0.0,0.0,0.2603526516035698,0.02022002784636739,0.002275084481882926
Easter_1,0.0,0.0,0.13480192980490835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527246421104477,0.0,0.04699703015223194,0.0,0.0,0.008915728015257578,0.0,0.021570240415710464,0.03430947221629623,0.22014482260782126,0.019216631088650092,0.0,0.023092345954057524,0.0,0.0,0.0,0.0,0.0,0.03489253900493034,0.0,0.0,0.1073927320225532,0.0,0.0,0.0,0.0
Memorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04359166426309528,0.0,0.0,0.0,0.0,0.0,0.007453210271098438,0.03208924477528608,0.0,0.03585262571482371,0.01508391575335865,0.0,0.06217967512682197,0.0,0.0,0.054349670401044034,0.0,0.0,0.038884328368967644,0.0429710399679305,0.0,0.16635468160995404,0.0,0.006240065051719,0.06178841673227528,0.20596280778734655
Memorial_1,0.0,0.13469085276601267,0.0,0.0,0.14410434846231657,0.0,0.0,0.040207355659131985,0.11020775056637794,0.13087525397078942,0.05896362079420915,0.0,0.0,0.0,0.023446058297384973,0.10079388010474054,0.06786381487303537,0.01948353587826489,0.009507547274752141,0.12308641183120422,0.02135696960369751,0.0,0.0,0.0,0.0,0.062009346763574266,0.029976791670405963,0.0,0.04414342590007343,0.0,0.0,0.380786829190307,0.0,0.0,0.10864937550324431,0.35855466655940627
4thJuly,0.0,0.016928839165617826,0.06193249570630387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03825657084557733,0.02089726974170496,0.08452834348997557,0.0,0.16081140921780226,0.0,0.0,0.0,0.0,0.26644429458214147,0.0,0.02754664917888133,0.0,0.0,0.029953268662658447,0.0,0.0,0.0,0.07789003410408808,0.04672815404978499,0.0,0.0,0.0,0.04785481247784395,0.1403111781392836,0.0
4thJuly_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.337156628464242e-05,0.0936920104806899,0.18849935376367538,0.0,0.0,0.0,0.0013249061469271018,0.26962482225831264,0.0,0.050930942333084386,0.00434327268709048,0.0,0.014195142307352339,0.02760546585607066,0.000433317547273773,0.0,0.0,0.0,0.0,0.26409565375900107,0.0,0.07769491532140264,0.09222486374033399,0.0
Labour,0.0,0.0,0.0,0.0,0.14849576270034673,0.0,0.0,0.020645086400111676,0.21720221288482108,0.10336140446856525,0.10926333491894355,0.047572961507460716,0.0,0.0912912668858068,0.0,0.0,0.05105411434937312,0.04870025913181229,0.03552839188189229,0.09733231713613001,0.08577704086518097,0.0,0.024056360470002182,0.0,0.0,0.09909024657147608,0.07168004462566134,0.0,0.0,0.11243603943993444,0.08270891957667512,0.0,0.0,0.0,0.15127072851164675,0.0
Labour_1,0.0,0.0,0.031043663295240356,0.0,0.028824507874906986,0.0,0.0,0.07742453771759199,0.0,0.0,0.13887524304536208,0.0,0.11026512626246178,0.0,0.0,0.029573318931024505,0.08567204547543109,0.025959612446958033,0.009224954734386337,0.19664749506989185,0.12034432086795445,0.0,0.13939768174062786,0.0,0.0,0.14857210608109397,0.04084963867571656,0.0,0.03147188508677693,0.16576803394477718,0.006020641715734358,0.0,0.0,0.13864064354647215,0.0023478629822544527,0.0
0_1_25293_60025_Discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_25293_60025_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_25293_60025_Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
