name,label,new_name
657979_0_1_25293_60025-UNITS,NULL,Sales_001
657979_0_1_25293_60027-UNITS,NULL,Sales_002
657979_0_1_25293_60029-UNITS,NULL,Sales_003
657979_0_1_25293_60031-UNITS,NULL,Sales_004
657979_0_1_25293_60039-UNITS,NULL,Sales_005
657979_0_1_28000_58454-UNITS,NULL,Sales_006
657979_0_1_28000_98216-UNITS,NULL,Sales_007
657979_0_1_41383_9010-UNITS,NULL,Sales_008
657979_0_1_41383_9021-UNITS,NULL,Sales_009
657979_0_1_41383_9022-UNITS,NULL,Sales_010
657979_0_1_41383_9036-UNITS,NULL,Sales_011
657979_0_1_41383_9043-UNITS,NULL,Sales_012
657979_0_1_44100_10189-UNITS,NULL,Sales_013
657979_0_1_44100_10252-UNITS,NULL,Sales_014
657979_0_1_44100_10293-UNITS,NULL,Sales_015
657979_0_1_44100_10320-UNITS,NULL,Sales_016
657979_0_1_44100_10680-UNITS,NULL,Sales_017
657979_0_1_44100_11059-UNITS,NULL,Sales_018
657979_0_1_44100_14695-UNITS,NULL,Sales_019
657979_0_1_44100_16924-UNITS,NULL,Sales_020
657979_0_1_44100_16925-UNITS,NULL,Sales_021
657979_0_1_44100_16927-UNITS,NULL,Sales_022
657979_0_1_44100_16928-UNITS,NULL,Sales_023
657979_0_1_44100_26269-UNITS,NULL,Sales_024
657979_0_1_44100_26803-UNITS,NULL,Sales_025
657979_0_1_75457_11500-UNITS,NULL,Sales_026
657979_0_1_75457_12500-UNITS,NULL,Sales_027
657979_0_1_75457_12600-UNITS,NULL,Sales_028
657979_0_1_75457_12900-UNITS,NULL,Sales_029
657979_0_1_75457_15100-UNITS,NULL,Sales_030
657979_0_1_75457_17000-UNITS,NULL,Sales_031
657979_0_1_75457_17700-UNITS,NULL,Sales_032
657979_0_1_75457_18900-UNITS,NULL,Sales_033
657979_0_1_75457_21100-UNITS,NULL,Sales_034
657979_0_1_75457_21400-UNITS,NULL,Sales_035
657979_0_1_75457_21900-UNITS,NULL,Sales_036
657979_0_1_75457_2600-UNITS,NULL,Sales_037
657979_0_1_75457_3700-UNITS,NULL,Sales_038
657979_0_1_75457_8000-UNITS,NULL,Sales_039
657979_0_2_25293_60037-UNITS,NULL,Sales_040
657979_0_2_28000_24610-UNITS,NULL,Sales_041
657979_0_2_44100_10652-UNITS,NULL,Sales_042
657979_0_2_44100_10982-UNITS,NULL,Sales_043
657979_0_2_44100_15104-UNITS,NULL,Sales_044
657979_0_2_75457_13800-UNITS,NULL,Sales_045
657979_0_2_75457_32600-UNITS,NULL,Sales_046
657979_0_3_41383_9600-UNITS,NULL,Sales_047
657979_7_1_93361_30101-UNITS,NULL,Sales_048
657979_7_1_93361_30122-UNITS,NULL,Sales_049
657979_7_1_93361_30201-UNITS,NULL,Sales_050
657979_7_1_93361_30322-UNITS,NULL,Sales_051
657979_88_6_99998_59443-UNITS,NULL,Sales_052
657979_88_6_99998_59444-UNITS,NULL,Sales_053
657979_88_6_99998_59461-UNITS,NULL,Sales_054
657979_88_6_99998_59494-UNITS,NULL,Sales_055
657979_88_6_99998_59520-UNITS,NULL,Sales_056
657979_88_6_99998_59547-UNITS,NULL,Sales_057
657979_88_6_99998_59548-UNITS,NULL,Sales_058
657979_88_6_99998_59549-UNITS,NULL,Sales_059
657979_0_1_25293_60025-PR,NULL,Discount_001
657979_0_1_25293_60027-PR,NULL,Discount_002
657979_0_1_25293_60029-PR,NULL,Discount_003
657979_0_1_25293_60031-PR,NULL,Discount_004
657979_0_1_25293_60039-PR,NULL,Discount_005
657979_0_1_28000_58454-PR,NULL,Discount_006
657979_0_1_28000_98216-PR,NULL,Discount_007
657979_0_1_41383_9010-PR,NULL,Discount_008
657979_0_1_41383_9021-PR,NULL,Discount_009
657979_0_1_41383_9022-PR,NULL,Discount_010
657979_0_1_41383_9036-PR,NULL,Discount_011
657979_0_1_41383_9043-PR,NULL,Discount_012
657979_0_1_44100_10189-PR,NULL,Discount_013
657979_0_1_44100_10252-PR,NULL,Discount_014
657979_0_1_44100_10293-PR,NULL,Discount_015
657979_0_1_44100_10320-PR,NULL,Discount_016
657979_0_1_44100_10680-PR,NULL,Discount_017
657979_0_1_44100_11059-PR,NULL,Discount_018
657979_0_1_44100_14695-PR,NULL,Discount_019
657979_0_1_44100_16924-PR,NULL,Discount_020
657979_0_1_44100_16925-PR,NULL,Discount_021
657979_0_1_44100_16927-PR,NULL,Discount_022
657979_0_1_44100_16928-PR,NULL,Discount_023
