name,label,new_name
milk_SS1,NULL,Sales_001
milk_SS2,NULL,Sales_002
milk_SS3,NULL,Sales_003
milk_SS4,NULL,Sales_004
milk_SS5,NULL,Sales_005
milk_SS6,NULL,Sales_006
milk_SS7,NULL,Sales_007
milk_SS8,NULL,Sales_008
milk_SS9,NULL,Sales_009
milk_SS10,NULL,Sales_010
milk_SS11,NULL,Sales_011
milk_SS12,NULL,Sales_012
milk_SS13,NULL,Sales_013
milk_SS14,NULL,Sales_014
milk_SS15,NULL,Sales_015
milk_SS16,NULL,Sales_016
milk_SS17,NULL,Sales_017
milk_SS18,NULL,Sales_018
milk_SS19,NULL,Sales_019
milk_SS20,NULL,Sales_020
milk_SS21,NULL,Sales_021
milk_SS22,NULL,Sales_022
milk_SS23,NULL,Sales_023
milk_SS24,NULL,Sales_024
milk_SS25,NULL,Sales_025
milk_SS26,NULL,Sales_026
milk_SS27,NULL,Sales_027
milk_SS28,NULL,Sales_028
milk_SS29,NULL,Sales_029
milk_SS30,NULL,Sales_030
milk_SS31,NULL,Sales_031
milk_SS32,NULL,Sales_032
milk_SS33,NULL,Sales_033
milk_SS34,NULL,Sales_034
milk_SS35,NULL,Sales_035
milk_SS36,NULL,Sales_036
milk_SS37,NULL,Sales_037
milk_SS38,NULL,Sales_038
milk_SS39,NULL,Sales_039
milk_SS40,NULL,Sales_040
milk_PR1,NULL,Discount_001
milk_PR2,NULL,Discount_002
milk_PR3,NULL,Discount_003
milk_PR4,NULL,Discount_004
milk_PR5,NULL,Discount_005
milk_PR6,NULL,Discount_006
milk_PR7,NULL,Discount_007
milk_PR8,NULL,Discount_008
milk_PR9,NULL,Discount_009
milk_PR10,NULL,Discount_010
milk_PR11,NULL,Discount_011
milk_PR12,NULL,Discount_012
milk_PR13,NULL,Discount_013
milk_PR14,NULL,Discount_014
milk_PR15,NULL,Discount_015
milk_PR16,NULL,Discount_016
milk_PR17,NULL,Discount_017
milk_PR18,NULL,Discount_018
milk_PR19,NULL,Discount_019
milk_PR20,NULL,Discount_020
milk_PR21,NULL,Discount_021
milk_PR22,NULL,Discount_022
milk_PR23,NULL,Discount_023
milk_PR24,NULL,Discount_024
milk_PR25,NULL,Discount_025
milk_PR26,NULL,Discount_026
milk_PR27,NULL,Discount_027
milk_PR28,NULL,Discount_028
milk_PR29,NULL,Discount_029
milk_PR30,NULL,Discount_030
milk_PR31,NULL,Discount_031
milk_PR32,NULL,Discount_032
milk_PR33,NULL,Discount_033
milk_PR34,NULL,Discount_034
milk_PR35,NULL,Discount_035
milk_PR36,NULL,Discount_036
milk_PR37,NULL,Discount_037
milk_PR38,NULL,Discount_038
milk_PR39,NULL,Discount_039
milk_PR40,NULL,Discount_040
milk_price1,NULL,Price_001
milk_price2,NULL,Price_002
milk_price3,NULL,Price_003
milk_price4,NULL,Price_004
milk_price5,NULL,Price_005
milk_price6,NULL,Price_006
milk_price7,NULL,Price_007
milk_price8,NULL,Price_008
milk_price9,NULL,Price_009
milk_price10,NULL,Price_010
milk_price11,NULL,Price_011
milk_price12,NULL,Price_012
milk_price13,NULL,Price_013
milk_price14,NULL,Price_014
milk_price15,NULL,Price_015
milk_price16,NULL,Price_016
milk_price17,NULL,Price_017
milk_price18,NULL,Price_018
milk_price19,NULL,Price_019
milk_price20,NULL,Price_020
milk_price21,NULL,Price_021
milk_price22,NULL,Price_022
milk_price23,NULL,Price_023
milk_price24,NULL,Price_024
milk_price25,NULL,Price_025
milk_price26,NULL,Price_026
milk_price27,NULL,Price_027
milk_price28,NULL,Price_028
milk_price29,NULL,Price_029
milk_price30,NULL,Price_030
milk_price31,NULL,Price_031
milk_price32,NULL,Price_032
milk_price33,NULL,Price_033
milk_price34,NULL,Price_034
milk_price35,NULL,Price_035
milk_price36,NULL,Price_036
milk_price37,NULL,Price_037
milk_price38,NULL,Price_038
milk_price39,NULL,Price_039
milk_price40,NULL,Price_040
milk_D11,NULL,Display1_001
milk_D12,NULL,Display1_002
milk_D13,NULL,Display1_003
milk_D14,NULL,Display1_004
milk_D15,NULL,Display1_005
milk_D16,NULL,Display1_006
milk_D17,NULL,Display1_007
milk_D18,NULL,Display1_008
