name,label,new_name
236117_0_1_25293_60025-UNITS,NULL,Sales_001
236117_0_1_25293_60027-UNITS,NULL,Sales_002
236117_0_1_25293_60039-UNITS,NULL,Sales_003
236117_0_1_28000_58454-UNITS,NULL,Sales_004
236117_0_1_49900_27268-UNITS,NULL,Sales_005
236117_0_2_25293_60037-UNITS,NULL,Sales_006
236117_0_2_28000_24610-UNITS,NULL,Sales_007
236117_7_1_42365_22800-UNITS,NULL,Sales_008
236117_7_1_42365_22820-UNITS,NULL,Sales_009
236117_7_1_42365_22840-UNITS,NULL,Sales_010
236117_7_1_42365_26400-UNITS,NULL,Sales_011
236117_7_1_42365_26410-UNITS,NULL,Sales_012
236117_7_1_42365_26420-UNITS,NULL,Sales_013
236117_7_1_42365_26440-UNITS,NULL,Sales_014
236117_88_6_99998_59442-UNITS,NULL,Sales_015
236117_88_6_99998_59443-UNITS,NULL,Sales_016
236117_88_6_99998_59444-UNITS,NULL,Sales_017
236117_88_6_99998_59461-UNITS,NULL,Sales_018
236117_88_6_99998_59486-UNITS,NULL,Sales_019
236117_88_6_99998_59492-UNITS,NULL,Sales_020
236117_88_6_99998_59494-UNITS,NULL,Sales_021
236117_88_6_99998_59504-UNITS,NULL,Sales_022
236117_88_6_99998_59509-UNITS,NULL,Sales_023
236117_88_6_99998_59518-UNITS,NULL,Sales_024
236117_88_6_99998_59519-UNITS,NULL,Sales_025
236117_88_6_99998_59520-UNITS,NULL,Sales_026
236117_88_6_99998_59525-UNITS,NULL,Sales_027
236117_88_6_99998_59546-UNITS,NULL,Sales_028
236117_88_6_99998_59547-UNITS,NULL,Sales_029
236117_88_6_99998_59548-UNITS,NULL,Sales_030
236117_88_6_99998_59549-UNITS,NULL,Sales_031
236117_88_6_99998_59597-UNITS,NULL,Sales_032
236117_88_6_99998_59601-UNITS,NULL,Sales_033
236117_88_6_99998_59649-UNITS,NULL,Sales_034
236117_88_6_99998_59651-UNITS,NULL,Sales_035
236117_88_6_99998_59689-UNITS,NULL,Sales_036
236117_0_1_25293_60025-PR,NULL,Discount_001
236117_0_1_25293_60027-PR,NULL,Discount_002
236117_0_1_25293_60039-PR,NULL,Discount_003
236117_0_1_28000_58454-PR,NULL,Discount_004
236117_0_1_49900_27268-PR,NULL,Discount_005
236117_0_2_25293_60037-PR,NULL,Discount_006
236117_0_2_28000_24610-PR,NULL,Discount_007
236117_7_1_42365_22800-PR,NULL,Discount_008
236117_7_1_42365_22820-PR,NULL,Discount_009
236117_7_1_42365_22840-PR,NULL,Discount_010
236117_7_1_42365_26400-PR,NULL,Discount_011
236117_7_1_42365_26410-PR,NULL,Discount_012
236117_7_1_42365_26420-PR,NULL,Discount_013
236117_7_1_42365_26440-PR,NULL,Discount_014
