"mayo_SS1","mayo_SS2","mayo_SS3","mayo_SS4","mayo_SS5","mayo_SS6","mayo_SS7","mayo_SS8","mayo_SS9","mayo_SS10","mayo_SS11","mayo_SS12","mayo_SS13","mayo_SS14","mayo_SS15","mayo_SS16","mayo_SS17","mayo_PR1","mayo_PR2","mayo_PR3","mayo_PR4","mayo_PR5","mayo_PR6","mayo_PR7","mayo_PR8","mayo_PR9","mayo_PR10","mayo_PR11","mayo_PR12","mayo_PR13","mayo_PR14","mayo_PR15","mayo_PR16","mayo_PR17","mayo_price1","mayo_price2","mayo_price3","mayo_price4","mayo_price5","mayo_price6","mayo_price7","mayo_price8","mayo_price9","mayo_price10","mayo_price11","mayo_price12","mayo_price13","mayo_price14","mayo_price15","mayo_price16","mayo_price17","mayo_D11","mayo_D12","mayo_D13","mayo_D14","mayo_D15","mayo_D16","mayo_D17","mayo_D18","mayo_D19","mayo_D110","mayo_D111","mayo_D112","mayo_D113","mayo_D114","mayo_D115","mayo_D116","mayo_D117","mayo_D21","mayo_D22","mayo_D23","mayo_D24","mayo_D25","mayo_D26","mayo_D27","mayo_D28","mayo_D29","mayo_D210","mayo_D211","mayo_D212","mayo_D213","mayo_D214","mayo_D215","mayo_D216","mayo_D217","mayo_F11","mayo_F12","mayo_F13","mayo_F14","mayo_F15","mayo_F16","mayo_F17","mayo_F18","mayo_F19","mayo_F110","mayo_F111","mayo_F112","mayo_F113","mayo_F114","mayo_F115","mayo_F116","mayo_F117","mayo_F21","mayo_F22","mayo_F23","mayo_F24","mayo_F25","mayo_F26","mayo_F27","mayo_F28","mayo_F29","mayo_F210","mayo_F211","mayo_F212","mayo_F213","mayo_F214","mayo_F215","mayo_F216","mayo_F217","mayo_F31","mayo_F32","mayo_F33","mayo_F34","mayo_F35","mayo_F36","mayo_F37","mayo_F38","mayo_F39","mayo_F310","mayo_F311","mayo_F312","mayo_F313","mayo_F314","mayo_F315","mayo_F316","mayo_F317","mayo_F41","mayo_F42","mayo_F43","mayo_F44","mayo_F45","mayo_F46","mayo_F47","mayo_F48","mayo_F49","mayo_F410","mayo_F411","mayo_F412","mayo_F413","mayo_F414","mayo_F415","mayo_F416","mayo_F417"
41,5,17,17,8,8,11,43,36,1,2,4,15,38,6,16,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.39,6.59,3,2.39,3,3.89,2.19,1.29,2.39,2.69,2.69,2.69,3,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,17,19,8,25,5,30,46,4,6,6,8,93,23,29,20,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1.39,6,3,2.39,3,1.9896,2.19,1.29,2.39,2.69,2.69,2.69,2.69,1.989892,3.34,2.39,3.35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,4,17,15,8,28,8,37,28,2,4,1,2,34,26,26,15,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1.39,6,3,2.39,3,3.38,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.17,3.36,2.39,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,17,13,8,19,38,59,15,2,2,18,15,71,14,25,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1.39,6.59,3,2.39,3,3.35,1.095,1.29,2.39,2.69,2.69,3,3,3.36,3.33,2.39,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,17,15,1,26,65,37,22,4,8,3,8,111,15,11,31,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1.39,6.59,3,2.39,2.49,1.99,2.19,1.29,2.39,2.69,2.69,2.69,2.69,1.99,3.29,2.39,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4,17,17,15,6,6,46,14,3,2,13,8,35,12,11,11,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1.39,6,3,2.39,2.49,3.39,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.34,3.29,2.39,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,17,17,8,13,5,34,20,8,5,10,13,16,6,19,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.39,6.59,3,2.39,2.49,3.89,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.69,4,2.39,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,17,18,11,6,12,54,26,7,8,19,8,15,2,22,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.39,6,3,2.39,2.49,3.89,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,17,18,7,4,10,37,24,7,2,14,9,18,9,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.68,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,17,13,12,5,6,56,31,7,8,14,7,21,5,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.39,6.59,3,2.39,2.49,3.89,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.45,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,17,14,9,20,8,48,12,2,5,5,9,132,6,21,23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.39,6.59,3,2.39,2.49,2,2.19,1.29,2.39,2.69,2.69,2.69,2.69,2,3.52,2.39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,17,20,11,11,23,45,28,8,4,14,12,141,8,21,16,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.39,6.59,3,2.39,2.49,3.45,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.25,3.45,2.39,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,17,17,14,6,10,47,29,14,5,11,16,18,6,16,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.39,6.59,3,2.39,2.49,3.67,2.19,1.29,2.39,2.69,2.69,2.69,2.69,3.45,3.82,2.39,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,17,15,13,3,15,42,25,24,16,38,17,13,11,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,2.19,1.29,2.39,2.65,2.65,2.65,2.66,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,17,16,8,5,18,43,17,6,7,12,6,20,3,20,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.1,1.29,2.39,2.65,2.65,2.65,2.65,3.52,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,17,13,13,12,57,48,15,9,7,14,14,77,12,18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.39,6.59,3,2.39,2.49,2,2.11,1.29,2.39,2.67,2.66,2.68,2.68,2,3.89,2.39,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,17,19,8,13,32,50,29,10,11,22,10,112,26,22,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1.39,6,3,2.39,2.49,2,1.89,1.29,2.39,2.69,2.69,2.69,2.69,2,3.89,2.39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,17,16,5,4,9,42,21,20,7,34,32,14,7,16,10,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2,2,2.51,2.5,3.63,3.89,2.39,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,17,20,12,5,13,43,16,22,11,25,19,19,7,12,7,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2.48,2.47,2.52,2.55,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,17,18,7,9,6,56,23,8,2,7,4,18,7,19,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,17,18,12,5,9,60,30,20,6,11,4,18,8,12,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5,17,23,7,4,9,60,27,9,9,8,8,19,9,25,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,17,21,5,8,5,52,27,7,8,16,10,11,6,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,6.59,3,2.39,2.49,3.89,1.89,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,17,15,14,8,32,53,17,7,14,15,5,12,3,21,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.39,6,3,2.39,2.49,3.89,1.27,1.29,2.39,2.69,2.69,2.69,2.69,3.69,3.89,2.39,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,17,25,11,6,35,51,21,8,12,14,13,77,8,14,32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.39,6.59,3,2.39,2.49,2,2.19,1.29,2.39,2.69,2.69,2.69,2.69,2,3.89,2.39,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
